,Rank,Num Serre,Scenario,Month Index,CA_expr,CMO_expr,CV_expr,Secteur
5031,210,16,11,46,40742807.37437815,5510337.814943504,25370687.999999996,3
5032,210,17,11,46,40742807.37437815,5510337.814943504,25370687.999999996,3
5033,210,18,11,48,40742807.37437815,5510337.814943504,25370687.999999996,4
5034,210,19,11,48,40742807.37437815,5510337.814943504,25370687.999999996,4
5035,210,20,11,48,40742807.37437815,5510337.814943504,25370687.999999996,5
5036,210,21,11,48,40742807.37437815,5510337.814943504,25370687.999999996,5
5037,210,22,11,46,40742807.37437815,5510337.814943504,25370687.999999996,6
5038,210,23,11,46,40742807.37437815,5510337.814943504,25370687.999999996,6
5039,210,24,11,46,40742807.37437815,5510337.814943504,25370687.999999996,6
5040,211,1,11,48,40501155.64565306,5306860.1288992865,25332574.080000002,1
5041,211,2,11,48,40501155.64565306,5306860.1288992865,25332574.080000002,1
5042,211,3,11,48,40501155.64565306,5306860.1288992865,25332574.080000002,1
5043,211,4,11,48,40501155.64565306,5306860.1288992865,25332574.080000002,1
5044,211,5,11,48,40501155.64565306,5306860.1288992865,25332574.080000002,1
5045,211,6,11,48,40501155.64565306,5306860.1288992865,25332574.080000002,1
5046,211,7,3,35,40501155.64565306,5306860.1288992865,25332574.080000002,2
5047,211,8,3,35,40501155.64565306,5306860.1288992865,25332574.080000002,2
5048,211,9,3,35,40501155.64565306,5306860.1288992865,25332574.080000002,2
5049,211,10,3,35,40501155.64565306,5306860.1288992865,25332574.080000002,2
5050,211,11,3,35,40501155.64565306,5306860.1288992865,25332574.080000002,2
5051,211,12,11,46,40501155.64565306,5306860.1288992865,25332574.080000002,3
5052,211,13,11,46,40501155.64565306,5306860.1288992865,25332574.080000002,3
5053,211,14,11,46,40501155.64565306,5306860.1288992865,25332574.080000002,3
5054,211,15,11,46,40501155.64565306,5306860.1288992865,25332574.080000002,3
5055,211,16,11,46,40501155.64565306,5306860.1288992865,25332574.080000002,3
5056,211,17,11,46,40501155.64565306,5306860.1288992865,25332574.080000002,3
5057,211,18,2,30,40501155.64565306,5306860.1288992865,25332574.080000002,4
5058,211,19,2,30,40501155.64565306,5306860.1288992865,25332574.080000002,4
5059,211,20,11,46,40501155.64565306,5306860.1288992865,25332574.080000002,5
5060,211,21,11,46,40501155.64565306,5306860.1288992865,25332574.080000002,5
5061,211,22,3,35,40501155.64565306,5306860.1288992865,25332574.080000002,6
5062,211,23,3,35,40501155.64565306,5306860.1288992865,25332574.080000002,6
5063,211,24,3,35,40501155.64565306,5306860.1288992865,25332574.080000002,6
5064,212,1,3,35,40535717.46752529,5303308.412173773,25370687.999999996,1
5065,212,2,3,35,40535717.46752529,5303308.412173773,25370687.999999996,1
5066,212,3,3,35,40535717.46752529,5303308.412173773,25370687.999999996,1
5067,212,4,3,35,40535717.46752529,5303308.412173773,25370687.999999996,1
5068,212,5,3,35,40535717.46752529,5303308.412173773,25370687.999999996,1
5069,212,6,3,35,40535717.46752529,5303308.412173773,25370687.999999996,1
5070,212,7,3,34,40535717.46752529,5303308.412173773,25370687.999999996,2
5071,212,8,3,34,40535717.46752529,5303308.412173773,25370687.999999996,2
5072,212,9,3,34,40535717.46752529,5303308.412173773,25370687.999999996,2
5073,212,10,3,34,40535717.46752529,5303308.412173773,25370687.999999996,2
5074,212,11,3,34,40535717.46752529,5303308.412173773,25370687.999999996,2
5075,212,12,11,48,40535717.46752529,5303308.412173773,25370687.999999996,3
5076,212,13,11,48,40535717.46752529,5303308.412173773,25370687.999999996,3
5077,212,14,11,48,40535717.46752529,5303308.412173773,25370687.999999996,3
5078,212,15,11,48,40535717.46752529,5303308.412173773,25370687.999999996,3
5079,212,16,11,48,40535717.46752529,5303308.412173773,25370687.999999996,3
5080,212,17,11,48,40535717.46752529,5303308.412173773,25370687.999999996,3
5081,212,18,11,46,40535717.46752529,5303308.412173773,25370687.999999996,4
5082,212,19,11,46,40535717.46752529,5303308.412173773,25370687.999999996,4
5083,212,20,11,46,40535717.46752529,5303308.412173773,25370687.999999996,5
5084,212,21,11,46,40535717.46752529,5303308.412173773,25370687.999999996,5
5085,212,22,11,46,40535717.46752529,5303308.412173773,25370687.999999996,6
5086,212,23,11,46,40535717.46752529,5303308.412173773,25370687.999999996,6
5087,212,24,11,46,40535717.46752529,5303308.412173773,25370687.999999996,6
5088,213,1,11,48,40840994.11200001,5647088.859347394,25332574.08,1
5089,213,2,11,48,40840994.11200001,5647088.859347394,25332574.08,1
5090,213,3,11,48,40840994.11200001,5647088.859347394,25332574.08,1
5091,213,4,11,48,40840994.11200001,5647088.859347394,25332574.08,1
5092,213,5,11,48,40840994.11200001,5647088.859347394,25332574.08,1
5093,213,6,11,48,40840994.11200001,5647088.859347394,25332574.08,1
5094,213,7,15,20,40840994.11200001,5647088.859347394,25332574.08,2
5095,213,8,15,20,40840994.11200001,5647088.859347394,25332574.08,2
5096,213,9,15,20,40840994.11200001,5647088.859347394,25332574.08,2
5097,213,10,15,20,40840994.11200001,5647088.859347394,25332574.08,2
5098,213,11,15,20,40840994.11200001,5647088.859347394,25332574.08,2
5099,213,12,11,46,40840994.11200001,5647088.859347394,25332574.08,3
5100,213,13,11,46,40840994.11200001,5647088.859347394,25332574.08,3
5101,213,14,11,46,40840994.11200001,5647088.859347394,25332574.08,3
5102,213,15,11,46,40840994.11200001,5647088.859347394,25332574.08,3
5103,213,16,11,46,40840994.11200001,5647088.859347394,25332574.08,3
5104,213,17,11,46,40840994.11200001,5647088.859347394,25332574.08,3
5105,213,18,3,35,40840994.11200001,5647088.859347394,25332574.08,4
5106,213,19,3,35,40840994.11200001,5647088.859347394,25332574.08,4
5107,213,20,11,47,40840994.11200001,5647088.859347394,25332574.08,5
5108,213,21,11,47,40840994.11200001,5647088.859347394,25332574.08,5
5109,213,22,15,21,40840994.11200001,5647088.859347394,25332574.08,6
5110,213,23,15,21,40840994.11200001,5647088.859347394,25332574.08,6
